,0,1,2
541,0.54,0.42,0.04
542,0.0,0.0,1.0
543,0.0,0.0,1.0
544,0.06,0.05,0.89
545,0.07,0.93,0.0
546,0.55,0.32,0.13
547,0.22,0.77,0.01
548,0.11,0.15,0.74
549,0.59,0.41,0.0
550,0.16,0.83,0.01
551,0.0,0.0,1.0
552,0.15,0.78,0.07
553,0.3,0.09,0.61
554,0.0,0.0,1.0
555,0.0,0.0,1.0
556,0.55,0.42,0.03
557,0.09,0.91,0.0
558,0.15,0.21,0.64
559,0.0,0.0,1.0
560,0.07,0.38,0.55
561,0.08,0.91,0.01
562,0.23,0.19,0.58
563,0.0,0.0,1.0
564,0.56,0.4,0.04
565,0.36,0.58,0.06
566,0.3,0.65,0.05
567,0.55,0.43,0.02
568,0.44,0.5,0.06
569,0.24,0.33,0.43
570,0.15,0.07,0.78
571,0.54,0.44,0.02
572,0.0,0.0,1.0
573,0.04,0.95,0.01
574,0.53,0.33,0.14
575,0.28,0.7,0.02
576,0.16,0.21,0.63
577,0.77,0.22,0.01
578,0.55,0.39,0.06
579,0.69,0.31,0.0
580,0.1,0.89,0.01
581,0.0,0.0,1.0
582,0.1,0.9,0.0
583,0.0,0.0,1.0
584,0.44,0.54,0.02
585,0.53,0.46,0.01
586,0.0,0.0,1.0
587,0.2,0.8,0.0
588,0.19,0.04,0.77
589,0.3,0.51,0.19
590,0.04,0.95,0.01
591,0.0,0.0,1.0
592,0.59,0.41,0.0
593,0.19,0.8,0.01
594,0.31,0.4,0.29
595,0.14,0.78,0.08
596,0.55,0.43,0.02
597,0.0,0.0,1.0
598,0.49,0.37,0.14
599,0.11,0.86,0.03
600,0.59,0.33,0.08
601,0.11,0.06,0.83
602,0.0,0.0,1.0
603,0.71,0.27,0.02
604,0.0,0.0,1.0
605,0.0,0.0,1.0
606,0.51,0.45,0.04
607,0.65,0.28,0.07
608,0.14,0.25,0.61
609,0.06,0.1,0.84
610,0.23,0.08,0.69
611,0.02,0.1,0.88
612,0.57,0.4,0.03
613,0.41,0.53,0.06
614,0.47,0.51,0.02
615,0.57,0.35,0.08
616,0.04,0.94,0.02
617,0.08,0.18,0.74
618,0.55,0.4,0.05
619,0.0,0.0,1.0
620,0.48,0.36,0.16
621,0.0,0.0,1.0
622,0.0,0.0,1.0
623,0.03,0.97,0.0
624,0.02,0.98,0.0
625,0.2,0.8,0.0
626,0.13,0.79,0.08
627,0.75,0.25,0.0
628,0.0,0.0,1.0
629,0.01,0.0,0.99
630,0.0,0.0,1.0
631,0.48,0.33,0.19
632,0.0,0.0,1.0
633,0.29,0.53,0.18
634,0.11,0.07,0.82
635,0.61,0.36,0.03
636,0.19,0.74,0.07
637,0.2,0.76,0.04
638,0.57,0.43,0.0
639,0.0,0.0,1.0
640,0.04,0.93,0.03
641,0.53,0.39,0.08
642,0.0,0.0,1.0
643,0.53,0.35,0.12
644,0.14,0.07,0.79
645,0.09,0.86,0.05
646,0.18,0.82,0.0
647,0.0,0.0,1.0
648,0.35,0.4,0.25
