Wavelength,Coastal Aerosol,Blue,Green,Red,NIR,Pan,Cirrus,SWIR1,SWIR2
473,3.44069E-07,0.833616316,1.35496E-05,1.85754E-07,1.1206E-06,3.37007E-05,0.000E+00,0.000E+00,0.000E+00
474,2.50025E-07,0.85324347,1.29589E-05,3.40137E-07,1.1003E-06,3.95814E-05,0.000E+00,0.000E+00,0.000E+00
475,1.59179E-07,0.867512643,1.05433E-05,8.02835E-07,1.29814E-06,4.70022E-05,0.000E+00,0.000E+00,0.000E+00
476,1.26263E-07,0.879684687,8.10628E-06,2.6613E-06,1.6699E-06,5.66352E-05,0.000E+00,0.000E+00,0.000E+00
477,1.29482E-07,0.886409104,6.41046E-06,5.73573E-06,2.12712E-06,6.90967E-05,0.000E+00,0.000E+00,0.000E+00
478,1.09821E-07,0.892453074,5.34886E-06,5.22614E-06,2.48788E-06,8.41138E-05,0.000E+00,0.000E+00,0.000E+00
479,6.56035E-08,0.902070165,4.7863E-06,2.67746E-06,2.59607E-06,0.000102393,0.000E+00,0.000E+00,0.000E+00
480,3.97644E-08,0.916846812,4.52016E-06,1.62436E-06,2.48152E-06,0.000123981,0.000E+00,0.000E+00,0.000E+00
481,7.46109E-08,0.930187106,4.4489E-06,1.26125E-06,2.21451E-06,0.000148073,0.000E+00,0.000E+00,0.000E+00
482,5.08815E-08,0.93724215,4.63265E-06,9.75416E-07,1.79763E-06,0.000175787,0.000E+00,0.000E+00,0.000E+00
483,4.0041E-08,0.940089643,5.09078E-06,7.19761E-07,1.24081E-06,0.000208598,0.000E+00,0.000E+00,0.000E+00
484,6.93935E-08,0.942667246,5.81639E-06,5.09899E-07,7.21946E-07,0.000246571,0.000E+00,0.000E+00,0.000E+00
485,3.0608E-08,0.942598581,6.92228E-06,4.17239E-07,3.89209E-07,0.000295946,0.000E+00,0.000E+00,0.000E+00
486,2.46753E-08,0.942124546,8.63935E-06,3.73104E-07,2.1027E-07,0.000360644,0.000E+00,0.000E+00,0.000E+00
487,2.92001E-08,0.943108261,1.12387E-05,3.90399E-07,1.43672E-07,0.000446395,0.000E+00,0.000E+00,0.000E+00
488,2.67116E-08,0.945148647,1.48698E-05,5.64426E-07,1.09868E-07,0.000559811,0.000E+00,0.000E+00,0.000E+00
489,3.71054E-08,0.946992874,2.00043E-05,2.01638E-06,1.01104E-07,0.00071401,0.000E+00,0.000E+00,0.000E+00
490,2.68795E-08,0.947054684,2.68228E-05,1.63719E-05,1.17523E-07,0.000941143,0.000E+00,0.000E+00,0.000E+00
491,2.5398E-08,0.943696737,3.45314E-05,3.82859E-05,1.45201E-07,0.001275481,0.000E+00,0.000E+00,0.000E+00
492,2.48454E-08,0.927983105,4.13245E-05,1.96848E-05,2.1124E-07,0.002889967,0.000E+00,0.000E+00,0.000E+00
493,2.91307E-08,0.908267617,4.48992E-05,2.57857E-06,3.40227E-07,0.003972373,0.000E+00,0.000E+00,0.000E+00
494,4.82572E-08,0.896314085,4.50133E-05,8.98861E-07,5.1471E-07,0.005636623,0.000E+00,0.000E+00,0.000E+00
495,2.74726E-08,0.901171684,4.33192E-05,5.6397E-07,6.26201E-07,0.00819497,0.000E+00,0.000E+00,0.000E+00
496,2.11132E-08,0.927900434,4.12795E-05,3.32518E-07,5.11594E-07,0.012608931,0.000E+00,0.000E+00,0.000E+00
497,4.40377E-08,0.954338789,3.98711E-05,2.12182E-07,2.61294E-07,0.020827344,0.000E+00,0.000E+00,0.000E+00
498,8.36787E-08,0.959147394,3.92909E-05,1.53112E-07,1.26292E-07,0.035128925,0.000E+00,0.000E+00,0.000E+00
499,8.4597E-08,0.948072553,3.95893E-05,1.14809E-07,7.54223E-08,0.061728254,0.000E+00,0.000E+00,0.000E+00
500,4.59435E-08,0.951889992,4.12123E-05,1.01201E-07,5.94168E-08,0.11756327,0.000E+00,0.000E+00,0.000E+00
501,3.4846E-08,0.966185391,4.45584E-05,9.14811E-08,4.27031E-08,0.20695138,0.000E+00,0.000E+00,0.000E+00
502,1.75628E-08,0.989839494,4.96033E-05,8.44066E-08,3.37478E-08,0.35047549,0.000E+00,0.000E+00,0.000E+00
503,1.0876E-08,1,5.64045E-05,4.93674E-08,5.10469E-08,0.518406987,0.000E+00,0.000E+00,0.000E+00
504,2.14375E-08,0.983226776,6.56922E-05,5.86784E-08,7.75635E-08,0.646830738,0.000E+00,0.000E+00,0.000E+00
505,5.60102E-08,0.952988148,7.80872E-05,4.22432E-08,1.07845E-07,0.717210948,0.000E+00,0.000E+00,0.000E+00
506,7.08482E-08,0.923568666,9.47671E-05,1.67763E-08,2.90988E-07,0.738912582,0.000E+00,0.000E+00,0.000E+00
507,4.08215E-08,0.919305563,0.000116855,5.60014E-08,1.65099E-06,0.738040924,0.000E+00,0.000E+00,0.000E+00
508,3.7099E-08,0.943495154,0.000144646,3.46823E-08,1.10976E-05,0.73227495,0.000E+00,0.000E+00,0.000E+00
509,4.26557E-08,0.956872582,0.000178074,1.72081E-08,2.24175E-05,0.732303321,0.000E+00,0.000E+00,0.000E+00
510,4.79269E-08,0.923229635,0.000218428,1.83352E-08,2.96215E-05,0.737952411,0.000E+00,0.000E+00,0.000E+00
511,3.75054E-08,0.799378276,0.000266764,1.97447E-08,3.5654E-05,0.745577991,0.000E+00,0.000E+00,0.000E+00
512,4.34807E-08,0.41356644,0.000328366,3.2872E-08,2.73575E-05,0.749583542,0.000E+00,0.000E+00,0.000E+00
513,5.09263E-08,0.11275553,0.000402857,3.05039E-08,1.99304E-05,0.750999987,0.000E+00,0.000E+00,0.000E+00
514,8.57539E-08,0.032740548,0.000488897,8.84433E-08,1.72235E-05,0.745696485,0.000E+00,0.000E+00,0.000E+00
515,1.42165E-07,0.012926528,0.00058934,1.04401E-07,9.69099E-06,0.739486396,0.000E+00,0.000E+00,0.000E+00
516,2.40786E-07,0.005829759,0.000717414,1.19474E-07,2.51005E-06,0.734338999,0.000E+00,0.000E+00,0.000E+00
517,2.77231E-07,0.003783574,0.000878333,1.0458E-07,6.77651E-07,0.732985914,0.000E+00,0.000E+00,0.000E+00
518,2.97661E-07,0.002630007,0.001090911,7.28613E-08,3.11281E-07,0.737551749,0.000E+00,0.000E+00,0.000E+00
519,3.8734E-07,0.002049361,0.001382021,7.30695E-08,1.98639E-07,0.745832086,0.000E+00,0.000E+00,0.000E+00
520,4.94388E-07,0.001602201,0.001795613,9.50194E-08,1.86035E-07,0.753200352,0.000E+00,0.000E+00,0.000E+00
521,5.6249E-07,0.001136264,0.003173703,8.71992E-08,1.81489E-07,0.757337689,0.000E+00,0.000E+00,0.000E+00
522,4.54208E-07,0.000725384,0.0043149,7.02686E-08,2.05737E-07,0.755636334,0.000E+00,0.000E+00,0.000E+00
523,3.13768E-07,0.000453265,0.006135015,1.15957E-07,3.22076E-07,0.75066328,0.000E+00,0.000E+00,0.000E+00
524,2.76812E-07,0.000303572,0.009184345,3.35703E-07,5.54037E-07,0.747128665,0.000E+00,0.000E+00,0.000E+00
525,1.89931E-07,0.000227867,0.013328115,4.18975E-06,9.2588E-07,0.746142209,0.000E+00,0.000E+00,0.000E+00
526,9.88374E-08,0.000193086,0.020063464,1.19654E-05,1.69533E-06,0.750465453,0.000E+00,0.000E+00,0.000E+00
527,1.1522E-07,0.000185237,0.031207668,7.63976E-06,3.96745E-06,0.75727582,0.000E+00,0.000E+00,0.000E+00
528,1.07238E-07,0.000195981,0.04959156,1.6306E-06,1.22533E-05,0.762557507,0.000E+00,0.000E+00,0.000E+00
529,8.29892E-08,0.000215025,0.083920904,2.63233E-07,2.6603E-05,0.769335806,0.000E+00,0.000E+00,0.000E+00
530,9.19688E-08,0.000229819,0.142274052,1.73061E-07,4.36081E-05,0.764261127,0.000E+00,0.000E+00,0.000E+00
531,7.16281E-08,0.000226302,0.23764506,1.41765E-07,4.75345E-05,0.760898232,0.000E+00,0.000E+00,0.000E+00
532,4.39378E-08,0.000209926,0.382564992,6.20507E-08,2.27494E-05,0.755937815,0.000E+00,0.000E+00,0.000E+00
533,4.49151E-08,0.000197623,0.528055489,1.09824E-07,1.36209E-05,0.745806456,0.000E+00,0.000E+00,0.000E+00
534,3.85171E-08,0.000189793,0.725553274,1.63029E-07,1.59643E-05,0.737094045,0.000E+00,0.000E+00,0.000E+00
535,2.78704E-08,0.000170094,0.86100316,1.72753E-07,2.10429E-05,0.750713289,0.000E+00,0.000E+00,0.000E+00
536,4.19089E-08,0.000126464,0.910040259,2.78936E-07,2.25944E-05,0.747801185,0.000E+00,0.000E+00,0.000E+00
537,3.97771E-08,8.22888E-05,0.951415002,3.75742E-07,1.39223E-05,0.762491286,0.000E+00,0.000E+00,0.000E+00
538,5.33907E-08,5.54775E-05,0.960259259,4.5266E-07,5.78877E-06,0.764140368,0.000E+00,0.000E+00,0.000E+00
539,7.14652E-08,4.23841E-05,0.960947871,4.8422E-07,3.07212E-06,0.759224772,0.000E+00,0.000E+00,0.000E+00
540,5.28026E-08,3.87835E-05,0.957968891,4.2702E-07,2.41137E-06,0.749986768,0.000E+00,0.000E+00,0.000E+00
541,4.74675E-08,3.96306E-05,0.959614038,3.72906E-07,2.42812E-06,0.746305108,0.000E+00,0.000E+00,0.000E+00
542,5.14491E-08,3.93672E-05,0.961039424,2.67766E-07,2.83304E-06,0.746712387,0.000E+00,0.000E+00,0.000E+00
543,4.89157E-08,3.42347E-05,0.967823565,2.64196E-07,3.74815E-06,0.755430818,0.000E+00,0.000E+00,0.000E+00
544,6.10271E-08,2.57325E-05,0.967478096,2.85185E-07,5.3148E-06,0.758871675,0.000E+00,0.000E+00,0.000E+00
545,6.50402E-08,1.9263E-05,0.971039712,2.77511E-07,7.92677E-06,0.760896325,0.000E+00,0.000E+00,0.000E+00
546,7.88375E-08,1.64123E-05,0.975967646,3.84982E-07,1.19409E-05,0.756901443,0.000E+00,0.000E+00,0.000E+00
547,7.52664E-08,1.70569E-05,0.96995008,5.22822E-07,1.67893E-05,0.740051866,0.000E+00,0.000E+00,0.000E+00
548,7.31974E-08,2.11617E-05,0.965836465,7.09533E-07,2.03796E-05,0.726675808,0.000E+00,0.000E+00,0.000E+00
549,5.88307E-08,2.65619E-05,0.962728083,1.21741E-06,1.90891E-05,0.719395041,0.000E+00,0.000E+00,0.000E+00
